en,gd,class,clas
vacuum,falamhachd,,
quantum,cuantam,,
light,solus,,
photon,foton,,
neutron,neodron,,
proton,proton,,
electron,eleactron,,
quark,cuarc,,
lepton,lea,,
hadron,,,
kaon,,,
pion,,,
charm,,,
strange,,,
up,,,
down,,,
top,,,
bottom,,,
Higg's boson,,,
boson,,,
neutrino,,,
